Wine Name,Price,Image,Winery,Grapes,Region,Wine Style,Product URL,volume,volume_unit,type,ageing,seasons,food_type,course,soil_type,vintage,tasting_notes,Food 1,Grape and Food Type 1,Tasting Notes 1,Food & Wine Acidity 1,Regional Pairing 1,Sweetness & Spiciness 1,Food 2,Grape and Food Type 2,Tasting Notes 2,Food & Wine Acidity 2,Regional Pairing 2,Sweetness & Spiciness 2,Food 3,Grape and Food Type 3,Tasting Notes 3,Food & Wine Acidity 3,Regional Pairing 3,Sweetness & Spiciness 3
2016-chateau-ducru-beaucaillou-le-petit-caillou-saint-julien,,,,,,,,750 ml,,Red wine,Aged in oak barrels for 12 months,Spring and summer,,Main course,,2016,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Full-bodied red wine pairs well with rich, grilled meats. The wine's dark fruit flavors complement the beef's juiciness, while the roasted garlic mashed potatoes provide a creamy contrast to the bold flavors of the steak and wine.",,,,,Braised Lamb Shanks with Carrots and Onions,"The wine's dark fruit flavors and firm tannins complement the lamb's rich, meaty flavor. The carrots and onions provide a sweet and savory contrast to the bold flavors of the dish.",,,,,Roasted Vegetable Tart with Goat Cheese and Herbs,The wine's fruit-forward flavors and smooth tannins complement the goat cheese's creaminess and herbs' freshness. The tart crust provides a nice contrast to the richness of the cheese and wine.,,,,
2009-chateau-durfort-vivens-margaux,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","red meat (e.g., beef, lamb), game birds",main course,limestone and clay,2009,"dark fruit, spices, leather, tobacco, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Butter,Full-bodied reds complement rich meats.,Dark fruit and spices meld with the bold flavors of the steak.,Moderate acidity cuts through the fattiness of the butter.,"Traditional pairings in French cuisine, such as Beef Bourguignon or Ribeye au Poivre.",Minimal sweetness and moderate spiciness complement each other.,Pan-Seared Duck Breast with Cherry Compote,Fruity reds complement rich poultry.,Cherry and dark fruit flavors align with the duck’s sweet-savory glaze.,Moderate acidity cuts through the richness of the duck breast.,"Traditional pairings in French cuisine, such as Duck à l’Orange or Pan-Seared Duck Breast with Cherry Compote.",Minimal sweetness and moderate spiciness complement each other.,Braised Short Ribs with Red Wine Jus,"Rich, full-bodied reds complement slow-cooked meats.","Dark fruit, spices, and leather notes blend with the richness of the short ribs.",Moderate acidity balances the fattiness of the sauce.,"Traditional pairings in French cuisine, such as Boeuf Bourguignon or Braised Short Ribs with Red Wine Jus.",Minimal sweetness and moderate spiciness complement each other.
2019-chateau-durfort-vivens-margaux,,,,,,,,750 ml,,Red,Aged in oak barrels (30% new),Best to drink within 5-7 years of vintage,,Main course,,2019 (4-digit year),,Grilled Ribeye Steak with Roasted Garlic Butter,"Rich, full-bodied reds complement bold beef flavors.",The wine's fruit and spice notes enhance the steak's charred flavors.,Moderate acidity cuts through the richness of the dish.,Classic pairings for red Bordeaux with beef.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Rosemary and Lemon,"Off-dry reds complement lamb's rich, gamey flavors.",The wine's fruit and spice notes complement the lamb's herbal and savory flavors.,Moderate acidity balances the richness of the dish.,Southern French wines match lamb-based dishes.,Minimal sweetness keeps it fresh and savory.,Creamy Brie Cheese with Fig Jam and Honey,"Sweet white wines complement rich, creamy cheeses.",The wine's fruit notes and sweetness balance the richness of the cheese.,Low acidity keeps it balanced and fresh.,Classic pairings for sweet white wines with cheese.,High sweetness levels keep it balanced and enjoyable.
2022-chateau-durfort-vivens-blanc-de-noir,,,,,,,,750 ml,ml,white,aged in stainless steel,"spring, summer",seafood,main course,limestone,2022,"citrus, floral, minerality",Pan-Seared Scallops with Lemon Butter,"The wine's minerality and citrus notes complement the richness of seafood, while its acidity cuts through the creaminess of the lemon butter.","Lemon zest matches bright citrus notes in the wine, enhancing the seafood flavors.",Moderate acidity balances the richness of the dish.,Mediterranean cuisine favors crisp white wines with seafood.,Minimal sweetness keeps it fresh and savory.,Grilled Fish Tacos with Avocado Salsa,"The wine's fruit notes and acidity complement the seafood flavors, while its minerality cuts through the creaminess of the avocado salsa.","Tropical fruit notes in the wine match the seafood flavors, enhancing their freshness.",Moderate acidity balances the richness of the dish.,Mexican cuisine favors crisp white wines with grilled fish or seafood.,Minimal sweetness keeps it fresh and savory.,Heirloom Tomato Salad with Burrata Cheese,"The wine's acidity and minerality complement the creaminess of the burrata cheese, while its fruit notes match the sweetness of the tomatoes.",Floral and stone fruit notes in the wine enhance the freshness of the tomato salad.,High acidity balances the richness of the dish.,Italian cuisine favors crisp white wines with dairy products like burrata cheese.,Minimal sweetness keeps it fresh and savory.
2020-chateau-durfort-vivens-la-nature-de-durfort-vivens,,,,,,,,750 ml,ml,red,aged in oak barrels for at least 12 months,"spring, summer","beef, lamb",main course,limestone and clay,2020,"dark fruit, spice, leather, tobacco",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold meats.",Dark fruit and spice flavors match the savory meat and rich potatoes.,Moderate acidity cuts through the fattiness of the steak.,Traditional pairings in red wine-loving countries like France and Italy.,Not applicable; leans savory and bold.,Braised Lamb Shanks with Rosemary and Lemon,Structured red wines complement slow-cooked meats.,"Dark fruit and spice flavors match the rich, tender meat.",Moderate acidity cuts through any oily glaze from braising liquid.,Traditional pairings in Mediterranean and Middle Eastern cuisine.,Not applicable; leans savory and bold.,Roasted Veal Chops with Wild Mushroom Stuffing and Pan-Seared Foie Gras,Elegant red wines complement luxurious meats.,"Dark fruit and spice flavors match the rich, savory meat.",High acidity balances the fattiness of the foie gras.,Traditional pairings in high-end French cuisine.,Not applicable; leans savory and bold.
2012-chateau-lascombes-margaux,,,,,,,,,,Seafood,,,,Main course,,,,Grilled Shrimp with Lemon Butter,"The crisp acidity and citrus notes in the wine complement the richness of the shrimp, while the lemon butter adds a bright, tangy flavor that matches the wine's fruitiness.","The wine's notes of pear, peach, and honey enhance the sweetness of the shrimp, while the acidity cuts through any richness.",High,Classic pairing for white wines in Mediterranean cuisine.,Not applicable; leans savory and sweet.,Pan-Seared Chicken Breast with Herbs,"The wine's fruitiness and moderate acidity complement the chicken's richness, while the herbs add a bright, fresh flavor that balances the dish.","The wine's notes of apple, peach, and floral hints enhance the chicken's juiciness, while the acidity cuts through any richness.",Moderate,French wines pair well with herbed chicken dishes.,Minimal sweetness keeps it fresh and savory.,Creamy Brie Cheese and Fresh Fruit,"The wine's rich, fruity notes complement the creamy brie cheese, while the acidity cuts through any richness.","The wine's notes of honey, peach, and apricot enhance the fruitiness of the cheese, while the acidity balances the sweetness.",Moderate,"Rich, creamy cheeses pair well with sweet white wines in French cuisine.",Not applicable; leans savory and sweet.
1990-chateau-leoville-barton-saint-julien,,,,,,,,750 ml,,Red,Aged in oak barrels (60% new),Best to drink between 2020 and 2035,,Main course,,1990,,"Grilled ribeye steak with roasted vegetables (suitable, poultry)","The wine's richness and tannins complement the bold flavors of the steak, while the acidity cuts through the fatty richness.",The wine's dark fruit flavors and spices enhance the savory qualities of the steak.,,,,"Braised lamb shanks with root vegetables (suitable, game birds)","The wine's structure and tannins can handle the richness of the lamb, while its fruit flavors complement the earthy notes in the dish.","The wine's dark fruit flavors and spices enhance the savory qualities of the lamb, while its acidity cuts through the richness of the sauce.",,,,"Roasted duck breast with cherry compote (suitable, poultry)","The wine's fruit flavors complement the sweet and savory flavors of the duck, while its acidity cuts through the richness of the dish.","The wine's fruit flavors and spices enhance the savory qualities of the duck, while its acidity balances the sweetness of the compote.",,,
2003-chateau-leoville-barton-saint-julien,,,,,,,,750 ml,,Red,Aged in oak barrels (70% new) for 18 months,Best enjoyed during the winter and spring seasons,,Main course,,2003 (4-digit year),,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied red wines like Château Léoville Barton Saint-Julien complement rich and fatty meats.,"The wine's dark fruit flavors match the beef's bold flavors, while the acidity cuts through the fattiness.",,,,Braised Lamb Shanks with Carrots and Turnips,"The wine's moderate tannins and acidity complement the lamb's rich, savory flavors.","The wine's dark fruit notes pair well with the lamb's earthy flavors, while the acidity cuts through any richness.",,,,Pan-Seared Duck Breast with Cherry Compote and Polenta,"The wine's light tannins and acidity complement the duck's delicate flavors, while the fruit notes enhance the sweetness of the cherry compote.","The wine's floral and fruity notes match the duck's delicate flavors, while the acidity cuts through any richness.",,,
2003-chateau-leoville-barton-saint-julien-3,,,,,,,,750 ml,mL,red,aged in oak barrels for 18 months,"spring, summer",beef or lamb,main course,limestone and clay,2003,"dark fruit, spice, and tobacco notes with a rich, full-bodied texture.",Grilled Steak with Black Pepper Sauce,"Full-bodied reds complement bold meat flavors, while peppery notes in the wine enhance the sauce.",Black fruit and spice complement the savory umami of the steak. Acidity balances the richness of both.,,"Classic pairings in red-wine friendly cuisines like French, Italian, or Argentine.",Not applicable; leans savory and bold.,Roasted Chicken with Herbs,White wines with herbal notes pair well with roasted poultry. The wine's acidity cuts through any richness from butter or oils used in the cooking process.,"Herbaceous notes in the wine complement the aromatics of the roasted chicken, while citrus and floral notes add brightness to balance out the dish.",,"Mediterranean cuisines with herbal ingredients, such as Greek or Italian cooking, pair well with this wine.",Minimal sweetness keeps it fresh and savory.,Braised Beef Short Ribs,"Rich, full-bodied red wines complement the unctuousness of braised short ribs. The wine's tannins and acidity help balance the fattiness of the dish.","Dark fruit, spice, and leather notes in the wine match well with the beef's rich flavors, while a hint of oak adds depth and complexity to the dish.",,"Traditional pairings in red-wine friendly cuisines like French or Italian, where the richness of the dish is balanced by the wine's structure.",
2019-chateau-leoville-barton-saint-julien,,,,,,,,750 ml,mL,red,aged in oak barrels for 18 months,"spring, summer","red meat (beef, venison) or game birds",main course,limestone and clay,2019,"dark fruit, spices, and leather notes complement the richness of grilled red meats or roasted game birds. The wine's oak aging adds complexity and structure to the flavors.",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied red wines complement bold flavors of grilled meats. Oak aging adds harmony to the richness of roasted garlic mashed potatoes.,"Garlicky flavors enhance the wine's savory qualities, while the wine's dark fruit notes balance the beef's fattiness.",Moderate acidity cuts through the richness of both dishes.,Classical pairing in French cuisine.,Not applicable; lean savory and bold flavors.,Roasted Quail with Cherry Compote and Wild Rice Pilaf,Off-dry red wines complement the delicate flavors of quail and chicken. Cherry compote adds a fruity note that complements the wine's dark fruit flavors.,"The wine's spices and leather notes balance the richness of roasted game birds, while the cherry compote's sweetness enhances the dish's overall harmony.",Moderate acidity balances the richness of both dishes.,Fusion pairing in European cuisine.,Minimal sweetness and spiciness; lean savory flavors.,Braised Short Ribs with Caramelized Onions and Polenta,"Full-bodied red wines complement the richness of slow-cooked meats. Caramelized onions add sweetness and depth to the dish, which complements the wine's dark fruit flavors.","The wine's oak aging adds complexity to the short ribs' rich flavors, while the caramelized onions' sweetness balances the beef's fattiness.",Moderate acidity cuts through the richness of both dishes.,Classic pairing in French cuisine.,Not applicable; lean savory flavors.
2011-chateau-leoville-poyferre-saint-julien,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best enjoyed during the winter and spring seasons,,Main course,,2011,,Grilled Lamb Chops with Rosemary and Garlic,Full-bodied red wines complement rich meats.,"The wine's dark fruit flavors and spice will enhance the lamb's herby and savory flavors, while its acidity will cut through the fattiness of the grilled meat.",,,,Beef Wellington with Mushrooms and Bacon,"Rich, full-bodied red wines complement bold flavors in beef dishes.","The wine's dark fruit flavors and spice will enhance the beef's savory flavors, while its acidity will balance the richness of the dish.",,,,Roasted Veal Shanks with White Beans and Tomato Sauce,Off-dry red wines complement the rich flavors of veal.,"The wine's fruit flavors will enhance the veal's rich, savory flavors, while its acidity will balance the dish's richness.",,,
2020-chateau-leoville-poyferre-saint-julien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-chateau-pichon-longueville-au-baron-de-pichon-longueville-pauillac,,,,,,,,750 ml,ml,red,aged in oak barrels for 18 months,"fall, winter","beef, lamb",main course,gravelly loam,2005,"dark fruit, spice, tobacco, leather",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich meats.,"Earthy, spicy notes in the wine match the bold flavors of the steak and potatoes.",Moderate acidity balances the richness of the dish.,Traditional pairings for red Bordeaux with grilled meats.,The wine's moderate sweetness and spicy tannins complement the bold flavors of the dish without overpowering it.,Pan-Seared Duck Breast with Cherry Compote,"Rich, full-bodied reds complement the duck's fattiness.","The wine's dark fruit, spice, and leather notes enhance the gamey flavors of the duck.",Moderate acidity cuts through the richness of the dish.,Traditional pairings for red Bordeaux with roasted meats.,The wine's moderate sweetness and mild spiciness complement the duck without overpowering it.,Braised Short Ribs with Caramelized Onions and Bell Peppers,"Fruity, spicy reds match the richness of the short ribs.","The wine's dark fruit, spice, and leather notes complement the braised meat's rich flavors.",Moderate acidity balances the dish's richness.,Traditional pairings for red Bordeaux with slow-cooked meats.,The wine's mild sweetness and moderate spiciness complement the bold flavors of the short ribs without overpowering them.
2006-chateau-pichon-longueville-comtesse-de-lalande-pauillac,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best to drink from spring to summer,,Main course,,2006,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"The rich, full-bodied tannins in the wine complement the bold flavors of the steak.",The wine's dark fruit flavors and spices enhance the savory flavors of the steak.,Moderate acidity helps cut through the richness of the dish.,Traditional pairing for red wine with grilled meats.,,Pan-Seared Duck Breast with Cherry Compote and Wild Rice Pilaf,The wine's moderate acidity and tannins complement the richness of the duck breast.,The wine's fruit flavors and spices enhance the savory flavors of the duck breast.,Moderate acidity balances the richness of the dish.,A classic pairing for red wine with poultry or game meat.,,Roasted Veal Shank with Braised Greens and Polenta,"The wine's rich, full-bodied tannins complement the richness of the veal shank.",The wine's dark fruit flavors and spices enhance the savory flavors of the veal shank.,Moderate acidity helps cut through the richness of the dish.,A traditional pairing for red wine with braised meats.,
2009-chateau-pichon-longueville-comtesse-de-lalande-pauillac,,,,,,,,750 ml,milliliters,red,aged in oak barrels for 18 months,suitable for drinking year-round,"beef, lamb, or game birds",main course,gravel and sand,2009,"dark fruit, spices, and leather notes complement rich, savory dishes.",Grilled Beef Ribeye with Roasted Vegetables,"Full-bodied red wines complement bold, savory dishes.",The wine's dark fruit and spice notes pair well with the richness of grilled meats.,High acidity cuts through the richness of the meat and vegetables.,Traditional pairings in Bordeaux include beef and lamb dishes with red wine.,Moderate sweetness and spice levels complement each other well.,Roasted Chicken with Herbs and Garlic,"Crisp, acidic white wines complement the richness of roasted poultry.",The wine's citrus and floral notes enhance the herbal flavors in the dish.,High acidity balances the richness of the chicken and herbs.,White wines are traditionally paired with poultry in European cuisine.,Low sweetness and moderate spice levels complement each other well.,Mushroom Risotto with Parmesan Cheese,"Off-dry to sweet white wines complement creamy, savory dishes.",The wine's floral and stone fruit notes pair well with the richness of mushroom risotto.,Moderate acidity balances the richness of the dairy or sauce.,Sweet white wines are traditionally paired with creamy dishes in Italian cuisine.,Low sweetness and minimal spice levels complement each other well.
2021-chateau-pichon-longueville-comtesse-de-lalande-pauillac,,,,,,,,750 ml,ml,red,aged in oak barrels for 12 months,"spring, summer","beef, lamb",main course,"gravelly, sandy loam",2021,"dark fruit, spice, smooth tannins",Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,"Rich, full-bodied reds complement bold meats.",Spice and dark fruit flavors match the savory meat.,High acidity balances the richness of the dish.,Classic pairings in French cuisine.,Moderate sweetness offsets bold spices.,Pan-Seared Duck Breast with Cherry Compote,Fruit-forward reds complement savory game meats.,"Dark fruit flavors match the rich, savory meat.",Moderate acidity balances the richness of the dish.,Traditional pairings in French cuisine.,Minimal sweetness keeps it fresh and savory.,Braised Short Ribs with Wild Mushroom Risotto,"Full-bodied reds complement rich, hearty dishes.",Dark fruit and spice flavors match the savory meat.,Moderate acidity balances the richness of the dish.,Italian pairings with bold flavors.,Minimal sweetness keeps it fresh and savory.
2021-chateau-rauzan-segla-margaux,,,,,,,,750 ml,,Red,Aged in oak barrels for 12 months,Best enjoyed in spring and summer,,Main course,,2021,,Grilled Ribeye Steak with Roasted Garlic Mashed Potatoes,Full-bodied reds complement rich beef flavors.,The wine's dark fruit and spice notes complement the savory umami flavor of the steak.,Moderate acidity helps balance the richness of the dish.,Classical pairing for red wines with grilled meats.,Minimal sweetness and moderate spice level.,"Braised Short Ribs with Carrots, Celery, and Bacon","Soft, fruity reds complement slow-cooked meats.","The wine's fruit and spice flavors complement the rich, savory flavors of the short ribs.",Moderate acidity helps balance the richness of the dish.,Classic pairing for red wines with braised meats.,Minimal sweetness and moderate spice level.,Pan-Seared Duck Breast with Apricot Jam and Roasted Vegetables,"Fruity, off-dry reds complement the richness of the duck.",The wine's fruit and floral flavors complement the sweet and savory flavors of the apricot jam and roasted vegetables.,Moderate acidity helps balance the richness of the dish.,Unconventional pairing for red wines with poultry or game meats.,Minimal sweetness and moderate spice level.
2015-chateau-pichon-longueville-les-griffons-de-pichon-baron-pauillac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-chateau-gruaud-larose-sarget-de-gruaud-larose-saint-julien,,,,,,,,750 ml,,Red,Aged in oak barrels,Best enjoyed in spring and summer,,Main course,,2013,,Grilled steak with roasted vegetables,"The rich, full-bodied wine complements the bold flavors of grilled steak, while the roasted vegetables provide a nice contrast in texture.","The wine's dark fruit and spice flavors enhance the beef's charred, savory taste.",Moderate acidity cuts through the richness of the steak and vegetables.,Classic pairing for red wines from Saint-Julien.,Not applicable; lean savory and bold flavors.,Roasted lamb with herbes de Provence,"The wine's fruit-forward profile complements the lamb's rich, gamey flavors.","The herbes de Provence enhance the wine's floral and citrus notes, while the lamb's herby flavors complement the wine's dark fruit flavors.",cuts through any richness or oily texture.,Traditional pairing from Saint-Julien to Provençal cuisine.,,Mushroom risotto with truffle oil and Parmesan cheese,"The wine's rich, savory profile complements the mushroom risotto's earthy flavors.","The truffle oil and Parmesan cheese enhance the wine's earthy, mushroom-forward flavors.",cuts through any richness or oily texture.,Traditional pairing from Saint-Julien to Italian cuisine.,
